Date,Close
2025-07-20,257.9
2025-07-21,261.0
2025-07-22,264.3
2025-07-23,262.08
2025-07-24,261.43
2025-07-27,263.14
2025-07-28,263.49
2025-07-29,270.86
2025-07-30,266.87
2025-07-31,261.61
2025-08-03,254.47
2025-08-04,259.37
2025-08-05,255.0
2025-08-06,254.26
2025-08-07,255.42
2025-08-12,254.28
2025-08-13,251.53
2025-08-14,250.95
2025-08-17,249.41
2025-08-18,250.66
2025-08-19,252.04
2025-08-20,250.66
2025-08-21,252.01
2025-08-24,250.2
2025-08-25,251.52
2025-08-26,250.64
2025-08-27,255.29
2025-08-28,251.62
2025-08-31,249.06
2025-09-01,251.35
