Date,Close
2025-07-20,435.58
2025-07-21,440.0
2025-07-22,442.95
2025-07-23,442.36
2025-07-24,439.05
2025-07-27,431.36
2025-07-28,426.68
2025-07-29,442.63
2025-07-30,432.85
2025-07-31,425.62
2025-08-03,415.64
2025-08-04,423.67
2025-08-05,419.1
2025-08-06,414.83
2025-08-07,417.07
2025-08-12,410.01
2025-08-13,406.22
2025-08-14,394.34
2025-08-17,390.67
2025-08-18,389.14
2025-08-19,390.71
2025-08-20,387.89
2025-08-21,385.29
2025-08-24,382.98
2025-08-25,385.37
2025-08-26,386.84
2025-08-27,394.1
2025-08-28,390.82
2025-08-31,391.09
2025-09-01,394.26
