Date,Close
2025-07-20,230.46
2025-07-21,231.5
2025-07-22,236.83
2025-07-23,235.63
2025-07-24,234.83
2025-07-27,235.09
2025-07-28,233.67
2025-07-29,242.64
2025-07-30,236.58
2025-07-31,232.44
2025-08-03,226.06
2025-08-04,229.8
2025-08-05,226.9
2025-08-06,225.57
2025-08-07,225.35
2025-08-12,220.74
2025-08-13,218.41
2025-08-14,216.15
2025-08-17,211.63
2025-08-18,212.78
2025-08-19,213.3
2025-08-20,212.62
2025-08-21,212.08
2025-08-24,209.05
2025-08-25,210.2
2025-08-26,209.31
2025-08-27,213.18
2025-08-28,209.83
2025-08-31,207.35
2025-09-01,209.77
